ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_tota,Total_BusL,Total_time
10743,STORE-65 - STORE-131,65,131,55,8.76089716761,16.64494443260,0.87608971611
10805,STORE-65 - STORE-132,65,132,117,56.08963204910,19.54308254980,5.60896306766
10750,STORE-65 - STORE-133,65,133,62,9.92818270041,19.24951148210,0.99281827104
10804,STORE-65 - STORE-134,65,134,116,53.70148125130,19.54308254980,5.37014796229
10802,STORE-65 - STORE-135,65,135,114,52.75354983930,19.54308254980,5.27535484208
10808,STORE-65 - STORE-136,65,136,120,56.76428182280,19.54308254980,5.67642802993
10807,STORE-65 - STORE-137,65,137,119,56.45962665350,19.54308254980,5.64596250927
10817,STORE-65 - STORE-138,65,138,129,58.79684026120,19.54308254980,5.87968386571
10809,STORE-65 - STORE-139,65,139,121,57.57778545990,19.54308254980,5.75777839842
10814,STORE-65 - STORE-140,65,140,126,58.01266505720,19.54308254980,5.80126638848
10821,STORE-65 - STORE-141,65,141,133,59.45268889520,19.54308254980,5.94526875579
10822,STORE-65 - STORE-142,65,142,134,59.93165911820,19.54308254980,5.99316578186
10815,STORE-65 - STORE-143,65,143,127,58.13500798570,19.54308254980,5.81350065288
10820,STORE-65 - STORE-144,65,144,132,59.43804627770,19.54308254980,5.94380449601
10813,STORE-65 - STORE-145,65,145,125,57.83573747450,19.54308254980,5.78357359951
10801,STORE-65 - STORE-146,65,146,113,51.98920468840,19.54308254980,5.19892032593
10806,STORE-65 - STORE-147,65,147,118,56.21291567650,19.54308254980,5.62129141692
10786,STORE-65 - STORE-148,65,148,98,32.21447416030,9.60775304649,3.22144743074
10787,STORE-65 - STORE-149,65,149,99,35.05544391070,8.48426171177,3.50554439738
10795,STORE-65 - STORE-150,65,150,107,51.10442332520,9.60775304649,5.11044234496
